PLAYER_Team,PLAYER_GW,PLAYER_Fixture_date,PLAYER_Opponent,FIX_Home?,TEMP_team_goals,TEMP_opp_goals,TEMP_points_gained
Watford,18,2019-12-22,Man Utd,1,2,0,3
Watford,19,2019-12-26,Sheffield Utd,0,1,1,1
Watford,20,2019-12-28,Aston Villa,1,3,0,3
Watford,21,2020-01-01,Wolves,1,2,1,3
Watford,22,2020-01-12,Bournemouth,0,3,0,3
Watford,23,2020-01-18,Spurs,1,0,0,1
Watford,24,2020-01-21,Aston Villa,0,1,2,1
Watford,25,2020-02-01,Everton,1,2,3,2
Watford,26,2020-02-08,Brighton,0,1,1,1
Watford,27,2020-02-23,Man Utd,0,0,3,0
Watford,28,2020-02-29,Liverpool,1,3,0,3
Watford,29,2020-03-07,Crystal Palace,0,0,1,0
Watford,30,2020-06-20,Leicester,1,,,
Watford,31,2020-06-25,Burnley,0,,,
Watford,32,2020-06-28,Southampton,1,,,
Watford,33,2020-07-04,Chelsea,0,,,
Watford,34,2020-07-08,Norwich,1,,,
Watford,35,2020-07-11,Newcastle,1,,,
Watford,36,2020-07-15,West Ham,0,,,
Watford,37,2020-07-18,Man City,1,,,
Watford,38,2020-07-26,Arsenal,0,,,
Spurs,1,2019-08-10,Aston Villa,1,3,1,3
Spurs,2,2019-08-17,Man City,0,2,2,1
Spurs,3,2019-08-25,Newcastle,1,0,1,0
Spurs,4,2019-09-01,Arsenal,0,2,2,1
Spurs,5,2019-09-14,Crystal Palace,1,4,0,3
Spurs,6,2019-09-21,Leicester,0,1,2,1
Spurs,7,2019-09-28,Southampton,1,2,1,3
Spurs,8,2019-10-05,Brighton,0,0,3,0
Spurs,9,2019-10-19,Watford,1,1,1,1
Spurs,10,2019-10-27,Liverpool,0,1,2,1
Spurs,11,2019-11-03,Everton,0,1,1,1
Spurs,12,2019-11-09,Sheffield Utd,1,1,1,1
Spurs,13,2019-11-23,West Ham,0,3,2,3
Spurs,14,2019-11-30,Bournemouth,1,3,2,3
Spurs,15,2019-12-04,Man Utd,0,1,2,1
Spurs,16,2019-12-07,Burnley,1,5,0,3
Spurs,17,2019-12-15,Wolves,0,2,1,3
Spurs,18,2019-12-22,Chelsea,1,0,2,0
Spurs,19,2019-12-26,Brighton,1,2,1,3
Spurs,20,2019-12-28,Norwich,0,2,2,1
Spurs,21,2020-01-01,Southampton,0,0,1,0
Spurs,22,2020-01-11,Liverpool,1,0,1,0
Spurs,23,2020-01-18,Watford,0,0,0,1
Spurs,24,2020-01-22,Norwich,1,2,1,3
Spurs,25,2020-02-02,Man City,1,2,0,3
Spurs,26,2020-02-16,Aston Villa,0,3,2,3
Spurs,27,2020-02-22,Chelsea,0,1,2,1
Spurs,28,2020-03-01,Wolves,1,2,3,2
Spurs,29,2020-03-07,Burnley,0,1,1,1
Spurs,30,2020-06-19,Man Utd,1,,,
Spurs,31,2020-06-23,West Ham,1,,,
Spurs,32,2020-07-02,Sheffield Utd,0,,,
Spurs,33,2020-07-04,Everton,1,,,
Spurs,34,2020-07-08,Bournemouth,0,,,
Spurs,35,2020-07-11,Arsenal,1,,,
Spurs,36,2020-07-15,Newcastle,0,,,
Spurs,37,2020-07-18,Leicester,1,,,
Spurs,38,2020-07-26,Crystal Palace,0,,,
Leicester,1,2019-08-11,Wolves,1,0,0,1
Leicester,2,2019-08-18,Chelsea,0,1,1,1
Leicester,3,2019-08-24,Sheffield Utd,0,2,1,3
Leicester,4,2019-08-31,Bournemouth,1,3,1,3
Leicester,5,2019-09-14,Man Utd,0,0,1,0
Leicester,6,2019-09-21,Spurs,1,2,1,3
Leicester,7,2019-09-29,Newcastle,1,5,0,3
Leicester,8,2019-10-05,Liverpool,0,1,2,1
Leicester,9,2019-10-19,Burnley,1,2,1,3
Leicester,10,2019-10-25,Southampton,0,9,0,3
Leicester,11,2019-11-03,Crystal Palace,0,2,0,3
Leicester,12,2019-11-09,Arsenal,1,2,0,3
Leicester,13,2019-11-23,Brighton,0,2,0,3
Leicester,14,2019-12-01,Everton,1,2,1,3
Leicester,15,2019-12-04,Watford,1,2,0,3
Leicester,16,2019-12-08,Aston Villa,0,4,1,3
Leicester,17,2019-12-14,Norwich,1,1,1,1
Leicester,18,2019-12-21,Man City,0,1,3,1
Leicester,19,2019-12-26,Liverpool,1,0,4,0
Leicester,20,2019-12-28,West Ham,0,2,1,3
Leicester,21,2020-01-01,Newcastle,0,3,0,3
Leicester,22,2020-01-11,Southampton,1,1,2,1
Leicester,23,2020-01-19,Burnley,0,1,2,1
Leicester,24,2020-01-22,West Ham,1,4,1,3
Leicester,25,2020-02-01,Chelsea,1,2,2,1
Leicester,26,2020-02-14,Wolves,0,0,0,1
